Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Library-HIVIND84Logic.json	1164	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	154	32	0	0	0	0	6	0	0
fsh-generated/resources/Library-HIVIND85Logic.json	1141	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	258	36	0	0	0	0	12	0	0
fsh-generated/resources/Library-HIVIND86Logic.json	1123	8	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	202	34	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND87Logic.json	1115	7	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	271	38	0	0	0	0	13	0	0
fsh-generated/resources/Library-HIVIND88Logic.json	1158	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	209	34	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND89Logic.json	1140	10	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	159	31	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND8Logic.json	1085	8	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	150	46	0	0	0	0	6	0	0
fsh-generated/resources/Library-HIVIND90Logic.json	1088	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	279	37	0	0	0	0	12	0	0
fsh-generated/resources/Library-HIVIND91Logic.json	1146	8	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	208	34	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND92Logic.json	1121	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	327	43	0	0	0	0	16	0	0
